n,226,1
n,1,2
n,2,3
n,3,4
n,4,5
n,5,6
n,6,7
n,7,8
n,8,9
n,9,10
n,10,11
n,11,12
n,12,13
n,13,14
n,14,15
n,15,16
n,16,17
n,17,18
n,18,19
n,19,20
n,20,21
n,21,22
n,22,23
n,23,24
n,24,25
n,25,26
n,26,27
n,27,28
n,28,29
n,29,30
n,9,31
n,31,32
n,32,34
n,33,34
n,34,35
n,35,36
n,36,37
n,37,38
n,38,39
n,39,40
n,40,41
n,41,42
n,42,43
n,43,44
n,44,45
n,45,46
n,46,47
n,47,20
n,20,48
n,48,49
n,49,50
n,50,51
n,51,52
n,52,53
n,53,54
n,54,55
n,55,56
n,56,57
n,57,58
n,58,59
n,59,60
n,60,61
n,53,62
n,62,63
n,53,64
n,64,65
n,65,66
n,66,67
n,67,68
n,68,69
n,69,70
n,70,71
n,71,72
n,72,73
n,73,74
n,74,28
n,28,75
n,75,76
n,76,77
n,77,78
n,78,79
n,79,80
n,80,81
n,81,82
n,82,83
n,83,84
n,84,85
n,85,86
n,86,87
n,87,88
n,88,89
n,89,90
n,90,91
n,91,114
n,13,92
n,92,93
n,93,94
n,94,95
n,95,96
n,96,97
n,97,98
n,98,99
n,99,100
n,100,101
n,101,102
n,102,103
n,103,104
n,104,105
n,105,106
n,106,107
n,107,108
n,108,109
n,109,110
n,110,111
n,111,112
n,112,113
n,113,114
n,114,115
n,115,116
n,116,117
n,117,118
n,118,119
n,119,120
n,119,135
n,108,121
n,121,122
n,122,123
n,123,124
n,124,125
n,125,126
n,126,127
n,127,128
n,128,129
n,129,130
n,130,131
n,131,132
n,132,133
n,133,134
n,134,135
n,125,136
n,136,137
n,137,138
n,138,139
n,139,140
n,140,141
n,142,143
n,143,144
n,144,145
n,145,146
n,146,147
n,147,148
n,148,149
n,149,150
n,150,151
n,151,152
n,152,153
n,153,154
n,154,155
n,155,156
n,156,157
n,157,158
n,158,159
n,159,160
n,160,161
n,161,162
n,162,163
n,163,164
n,164,165
n,165,166
n,166,122
n,11,168
n,168,169
n,169,170
n,170,171
n,171,172
n,172,173
n,173,174
n,174,175
n,175,176
n,176,157
n,101,177
n,178,179
n,179,180
n,180,181
n,181,182
n,182,183
n,183,184
n,184,161
n,157,190
n,190,191
n,191,192
n,192,193
n,193,194
n,194,195
n,195,196
n,196,207
n,161,197
n,197,198
n,198,199
n,199,200
n,200,201
n,201,203
n,203,204
n,204,205
n,205,206
n,206,207
n,207,208
n,208,209
n,209,210
n,210,211
n,211,212
n,212,213
n,213,189
n,210,214
n,214,215
n,215,216
n,142,217
n,217,218
n,218,219
n,219,220
n,220,221
n,221,222
n,222,223
n,223,224
n,224,225
n,226,227
n,227,228
n,228,229
n,229,230
n,230,231
n,193,232
n,232,233
n,233,234
n,234,235
n,235,236
